case,location,date,summary,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,latitude,longitude,type,year
Fort Hood massacre,"Fort Hood, Texas",05-11-2009,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.",13,31,44,Military,39,Unclear,Medical officials at Walter Reed Army Medical Center and the Uniformed Services University of the Health Sciences raised concerns prior to the shooting regarding Hasan's aloof and erratic behavior and extremist Islamic views.,Yes,"Guns Galore in Kileen, Texas",One semiautomatic handgun,FN Five-seven semiautomatic handgun,Other,Male,31.135557,-97.783664,Mass,2009
Binghamton shootings,"Binghamton, New York",03-04-2009,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,Other,41,Yes,He apparently harbored growing paranoia toward cops. He also sent a delusional letter to a local TV station right before the shooting.,Yes,"Gander Mountain in Johnson City, N.Y.",Two semiautomatic handguns,"9mm Beretta, .45-caliber Springfield semiautomatic handguns",Asian,Male,42.099802,-75.917723,Mass,2009
Carthage nursing home shooting,"Carthage, North Carolina",29-03-2009,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,Other,45,Yes,"His estranged wife told her workplace that her husband had an ""unstable mental state or (was) mentally ill.""",Yes,Local sporting goods stores and individuals,"One revolver, one shotgun",Winchester 1300 pump-action shotgun; .357 Magnum revolver,white,Male,35.333434,-79.414592,Mass,2009
Atlantis Plastics shooting,"Henderson, Kentucky",25-06-2008,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide.",6,1,7,Workplace,25,No,He called his girlfriend two hours before the shooting to say he was going to kill his boss.,Yes,Unknown,One semiautomatic handgun,.45-caliber Hi-Point semiautomatic handgun,white,Male,37.76721,-87.5573742,Spree,2008
Northern Illinois University shooting,"DeKalb, Illinois",14-02-2008,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,School,27,Yes,"He had a long history of mental health struggles; after high school, his parents placed him at a psychiatric treatment center. He told friends he left the Army after six months due to a psychological discharge. ",Yes,"Online and gun retailers in Champaign, Ill. ","Three semiautomatic handguns, one shotgun","9mm Glock 19, Hi-Point CF380, 9mm Kurz SIG Sauer P232 semiautomatic handguns; 12-gauge Remington Sportsman 48 sawed-off shotgun",white,Male,41.9294736,-88.7503647,Mass,2008
Kirkwood City Council shooting,"Kirkwood, Missouri",07-02-2008,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police.",6,2,8,Other,52,No,He was known for histrionics and disruptions at city council meetings. His mounting debt was a stressor.,No,Taken in burglary and from fallen police officer,"One semiautomatic handgun, one revolver",.40-caliber Smith & Wesson semiautomatic handgun; .44 Magnum Smith & Wesson Model 29 revolver,black,Male,38.580093,-90.40691,Mass,2008
Westroads Mall shooting,"Omaha, Nebraska",05-12-2007,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,Other,19,Yes,He had been treated in the past for depression and ADHD. ,No,Stolen from grandfather,One rifle (assault),WASR-10 Century Arms semiautomatic rifle,white,Male,41.265719,-96.067495,Spree,2007
Crandon shooting,"Crandon, Wisconsin",07-10-2007,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,Other,20,Unclear,The families of victims filed a wrongful death lawsuit against the county arguing that the police department should have evaluated the gunman's mental health before hiring him.,Yes,Issued by Forest County Sheriff's Department,One rifle (assault),AR-15 SWAT semiautomatic rifle,white,Male,45.5719072,-88.9028922,Mass,2007
Virginia Tech massacre,"Blacksburg, Virginia",16-04-2007,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,School,23,Yes,"A district court ruled Cho was ""an imminent danger"" to himself and others as a result of mental illness two years earlier, and directed Cho to seek treatment. ",Yes,"Purchased variously online and from Roanoke Firearms in Roanoke, Va.",Two semiautomatic handguns,"9mm Glock 19, .22-caliber Walther P22 semiautomatic handguns",Asian,Male,37.2295733,-80.4139393,Mass,2007
Trolley Square shooting,"Salt Lake City, Utah",12-02-2007,"Sulejman Talović, 18, rampaged through the shopping center until he was shot dead by police.",6,4,10,Other,18,Unclear,"According to one relative, he was violent and had the mental capacity of a child. (But accounts from others did not indicate this about the shooter.)",Unknown,"Purchased variously from Sportsman's Fast Cash in West Valley City, Utah and individuals ","One revolver, one shotgun",Mossberg Maverick 88 Field shotgun; .38-caliber Smith & Wesson M36 revolver,white,Male,40.7606467,-111.89109,Mass,2007
Amish school shooting,"Lancaster County, Pennsylvania",02-10-2006,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,School,32,No,He told his wife that he'd molested two young relatives 20 years ago. ,Yes,"Local stores in Nickel Mines, Penn. ","One semiautomatic handgun, one rifle, one shotgun",Springfield semiautomatic handgun; .30-06 Ruger bolt-action rifle; 12-gauge Browning pump-action shotgun,white,Male,39.9589,-76.0806,Mass,2006
Capitol Hill massacre,"Seattle, Washington",25-03-2006,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,Other,28,No,Police were unable to find any record that he had been treated for mental illness or was on psychiatric medication.,Yes,"Various sporting goods stores in Kalispell, Mont.","Two semiautomatic handguns, one rifle (assault), one shotgun",".40-caliber Ruger, one other semiautomatic handgun; Bushmaster XM15 E2S semiautomatic rifle; 12-gauge Winchester Defender pump-action shotgun with extended tube and pistol grip",white,Male,47.6229,-122.3165,Mass,2006
Goleta postal shootings,"Goleta, California",30-01-2006,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide.",8,0,8,Workplace,44,Yes,She was placed on retirement disability for psychological reasons. Fellow employees described her behavior as increasingly bizarre. She believed the Postal Service employees were conspiring against her.,Yes,"Pawn shops in Grants and Gallup, N.M.",One semiautomatic handgun,9mm Smith & Wesson 915 semiautomatic handgun,white,Female,34.425571,-119.866069,Mass,2006
Red Lake massacre,"Red Lake, Minnesota",21-03-2005,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide.",10,5,15,School,16,Yes,He voluntarily visited a a psychiatric ward. He was hospitalized at least once for suicidal tendencies and was taking Prozac.,No,Glock and Remington stolen from grandfather,"Two semiautomatic handguns, one shotgun",".40-caliber Glock 23, .22-caliber Ruger semiautomatic handguns; 12-gauge Remington 870 shotgun",Native American,Male,47.876346,-95.0169401,Mass,2005
Living Church of God shooting,"Brookfield, Wisconsin",12-03-2005,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",7,4,11,Religious,44,Yes,Neighbors said he suffered from depression and had a drinking problem.,Yes,"Gun dealer in Waukesha, Wis.",One semiautomatic handgun,9mm Beretta semiautomatic handgun,white,Male,43.0605671,-88.1064787,Spree,2005
Damageplan show shooting,"Columbus, Ohio",08-12-2004,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.",5,7,12,Other,25,Yes,He was discharged from the military because he was a paranoid schizophrenic.,Yes,Received as a gift from mother,One semiautomatic handgun,9mm Beretta 92FS semiautomatic handgun,white,Male,39.9622601,-83.0007065,Mass,2004
Lockheed Martin shooting,"Meridian, Mississippi",08-07-2003,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Workplace,48,Yes,"His cousin said he was depressed and ""going through a lot of things.""",Yes,Purchased from an individual,"One semiautomatic handgun, two rifles, one derringer, one shotgun",".45-caliber Ruger P90 semiautomatic handgun; .22-caliber rifle with scope, .223-caliber Ruger Mini-14 rifle; 12-gauge Winchester 1300 shotgun; .22 Magnum derringer",white,Male,32.410842,-88.634539,Mass,2003
Navistar shooting,"Melrose Park, Illinois",05-02-2001,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.",5,4,9,Workplace,66,No,"He had a criminal past, including a sexual assault conviction.",Yes,"Some purchased from Pepper Sports in Glen Ellyn, Ill. ","Two rifles, one revolver, one shotgun","SKS 1954R, .30-caliber Winchester rifles; 12-gauge Remington pump-action shotgun; .38-caliber revolver",black,Male,41.908163,-87.879908,Mass,2001
Wakefield massacre,"Wakefield, Massachusetts",26-12-2000,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Workplace,42,Yes,"Psychiatrist guessed he had schizophrenia, but McDermott had researched how to fake a mental illness on the internet. Defense lawyer described history of suicide attempts and mental illness dating back to teen years. Jury rejected his insanity defense. ",Yes,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",.32-caliber Retolaza semiautomatic handgun; AK-47 variant semiautomatic rifle; 12-gauge Winchester 1300 pump-action shotgun,white,Male,42.500429,-71.075913,Mass,2000
Hotel shooting,"Tampa, Florida",30-12-1999,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",5,3,8,Workplace,36,Yes,"His brother called him ""unbalanced"" and mentally ill.",Yes,"One purchased from Big E's in Tampa, Fla.","One semiautomatic handgun, one revolver",9mm Lorcin semiautomatic handgun; .38-caliber Charter Arms revolver,Latino,Male,27.966479,-82.570586,Spree,1999
Xerox killings,"Honolulu, Hawaii",02-11-1999,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Workplace,40,Yes," A psychiatrist, testifying for the prosecution,said he suffered from schizophrenia.",Yes,"Hunting Supplies of Hawaii (The Armory) in Honolulu, Hawaii",One semiautomatic handgun,9mm Glock 17 semiautomatic handgun,Asian,Male,21.320063,-157.876462,Spree,1999
Wedgwood Baptist Church shooting,"Fort Worth, Texas",15-09-1999,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",8,7,15,Religious,47,Yes,His siblings decribed him as a paranoid schizophrenic. ,Yes,"Trader's Village flea market in Grand Prairie, Texas",Two semiautomatic handguns,".380-caliber, 9mm Ruger P85 semiautomatic handguns",white,Male,32.664511,-97.384246,Mass,1999
Atlanta day trading spree killings,"Atlanta, Georgia",29-07-1999,"Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)",9,13,22,Workplace,44,Yes,"In letters, he details his deep depression and downward spiral. ",Yes,"Glock purchased from gun store in Warner Robins, Ga. ","Three semiautomatic handguns, one revolver",".45-caliber Colt 1911-A1, 9mm Glock 17, .25-caliber Raven Arms MP-25 semiautomatic handguns; .22-caliber Harrington & Richardson revolver",white,Male,33.850116,-84.377839,Mass,1999
Columbine High School massacre,"Littleton, Colorado",20-04-1999,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.",13,24,37,School,17,Yes,Harris was an alleged psychopath; Klebold was depressed and suicidal.,No,"Purchased variously at Tanner Gun Show in Denver, Colo. and from an individual","One semiautomatic handgun (assault), one rifle (assault), two shotguns","9mm Intratec DC-9 semiautomatic handgun; 9mm Hi-Point 995 carbine rifle; 12-gauge sawed-off Savage Stevens 311D, 12-gauge sawed-off Savage Springfield 67H pump-action shotguns",white,Male,39.604034,-105.074103,Mass,1999
Thurston High School shooting,"Springfield, Oregon",21-05-1998,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   ",4,25,29,School,15,Yes,Doctors testified that he was a paranoid schizophrenic who suffered from hallucinations,No,"Purchased variously from friend and father, and stolen from father","Two semiautomatic handguns, one rifle","9mm Glock, .22-caliber Ruger semiautomatic handguns, .22-caliber Ruger rifle",white,Male,44.0462362,-123.0220289,Mass,1998
Westside Middle School killings,"Jonesboro, Arkansas",24-03-1998,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,School,11,No,Boys displayed unruly and aggressive behavior. They picked on kids and made threats about killing people. ,No,Stolen from grandfather and father,"Two semiautomatic handguns, two rifles, three revolvers, two derringers","FIE 380, .380-caliber Star semiautomatic handguns; .44 Magnum Ruger, .30-06 Remington 742, .30-caliber Universal M-1 carbine replica rifles; .38-caliber Charter Arms, .357-caliber Ruger Security Six, .38-caliber Smith & Wesson revolvers; .22-caliber Double Deuce Buddie two-shot, .38-caliber Davis Industries two-shot derringers",white,Male,35.8209895,-90.6682606,Mass,1998
Connecticut Lottery shooting,"Newington, Connecticut",06-03-1998,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",5,1,6,Workplace,35,Yes,He had been hospitalized for psychiatric reasons and had a history of depression,Yes,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,white,Male,41.6856325,-72.72983827,Mass,1998
Caltrans maintenance yard shooting,"Orange, California",18-12-1997,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.",5,2,7,Workplace,41,No,He was disgruntled after being fired. ,Yes,"B&B Gun Sales in Orange County, Calif.",One rifle (assault),7.62mm AK-47 Chinese variant semiautomatic rifle,Latino,Male,33.7877944,-117.8531119,Spree,1997
R.E. Phelon Company shooting,"Aiken, South Carolina",15-09-1997,"Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.",4,3,7,Workplace,43,No,"An ex-con, he had been freed from prison, although he displayed violent tendencies.",No,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,black,Male,33.5598586,-81.721952,Mass,1997
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",09-02-1996,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Workplace,41,Yes,"Co-workers complained about his threats and verbal abuse. His supervisors asked him to get a psychiatric evaluation. He lost his job, which relatives said drove his depression.",Yes,Unknown,"One semiautomatic handgun, one revolver",9mm Glock semiautomatic handgun; .32-caliber revolver,black,Male,26.119269,-80.104119,Spree,1996
Walter Rossler Company massacre,"Corpus Christi, Texas",03-04-1995,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",6,0,6,Workplace,28,No,He was likely angry because he was given an assignment at work he didn't like. But acquaintances didn't know why he'd come back and kill.,Yes,Unknown,"One semiautomatic handgun, one revolver",9mm Ruger semiautomatic handgun; .32-caliber revolver,unclear,Male,27.828025,-97.548198,Mass,1995
Air Force base shooting,"Fairchild Air Force Base, Washington",20-06-1994,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",5,23,28,Military,20,Yes,He was repeatedly diagnosed with emotional problems during his two years of service.,Yes,"Gun dealer in Spokane, Wash.",One rifle (assault),MAK-90 semiautomatic rifle,white,Male,47.61864486,-117.6483587,Mass,1994
Chuck E. Cheese's killings,"Aurora, Colorado",14-12-1993,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.",4,1,5,Workplace,19,Unclear,"While he was in prison awaiting trial, he started acting bizarre by stripping naked and playing with his feces, apparently to avoid the death penalty. A state doctor testified that Dunlap was was faking his mental illness. ",Unknown,Unknown,One semiautomatic handgun,.25-caliber semiautomatic handgun,black,Male,39.675599,-104.844845,Mass,1993
Long Island Rail Road massacre,"Garden City, New York",07-12-1993,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",6,19,25,Other,35,Yes,"Psychiatrists and others said he suffered from racial paranoia and was obsessed with nonexistent conspiracies. His landlord said he had ""delusions of grandeur.""",Yes,"Turner's Outdoorsman in Signal Hill, Calif. ",One semiautomatic handgun,9mm Ruger P89 semiautomatic handgun,black,Male,40.7267682,-73.6342955,Spree,1993
Luigi's shooting,"Fayetteville, North Carolina",06-08-1993,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",4,8,12,Other,22,No,"He had an abusive father, who committed suicide.",Yes,Unknown,"One rifle, two shotguns",.22-caliber rifle; two 12-gauge shotguns,white,Male,35.0529931,-78.8787058,Mass,1993
101 California Street shootings,"San Francisco, California",01-07-1993,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.",9,6,15,Other,55,No,"He was down on his luck because of failed business decisions. One acquaintance said, ""He was the least likely guy you can imagine doing something like that.""  His ex-wife said he ""hated violence.""",No,"Super Pawn and Pacific Tactical Weapons, both in Las Vegas, Nev.",Three semiautomatic handguns (two assault),"Two Intratec DC-9, .45-caliber Colt semiautomatic handguns",white,Male,37.792968,-122.397973,Mass,1993
Watkins Glen killings,"Watkins Glen, New York",15-10-1992,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments.",5,0,5,Other,50,Yes,"The day before the shooting, he told child-support collection office workers that he was considering suicide. He had been convicted of felonious assault for pointing a revolver at police officers responding to a domestic violence report at this girlfriend's apartment. ",Yes,"Mumford Sports in Litchfield, Ohio",One semiautomatic handgun,9mm Llama semiautomatic handgun,white,Male,42.3810555,-76.8705777,Mass,1992
Lindhurst High School shooting,"Olivehurst, California",01-05-1992,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,20,No,"He suffered violent physical abuse as a child. He claimed a teacher had sexually abused him, but the truth of that allegation was contested. ",Yes,Local gun retailer,"One rifle, one shotgun",.22-caliber sawed-off rifle; 12-gauge pump-action shotgun,white,Male,39.07868761,-121.5475762,Mass,1992
Royal Oak postal shootings,"Royal Oak, Michigan",14-11-1991,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",5,5,10,Workplace,31,Yes,Police revoked his CCW permit after determining he was mentally unstable.,Yes,Local gun store,One rifle,.22-caliber Ruger sawed-off semiautomatic rifle,white,Male,42.4894801,-83.1446485,Mass,1991
University of Iowa shooting,"Iowa City, Iowa",01-11-1991,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,28,Unclear,He was described as darkly disturbed and isolated.,Yes,"Fin & Feather in Iowa City, Iowa",One revolver,.38-caliber Taurus revolver,Asian,Male,41.6606893,-91.5302214,Spree,1991
Luby's massacre,"Killeen, Texas",16-10-1991,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.",24,20,44,Other,35,No,"Acquaintances described him as troubled, unstable, combative, and misogynistic. He made convenience store employees ""nervous.""",Yes,"Mike's Gun Shop in Henderson, Nev.",Two semiautomatic handguns,"9mm Glock 17, 9mm Ruger P89 semiautomatic handguns",white,Male,31.1171194,-97.7277959,Mass,1991
GMAC massacre,"Jacksonville, Florida",18-06-1990,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)",10,4,14,Other,42,No,"Police speculated he had a ""grudge"" against the people he killed. ",Yes,Unknown,"One rifle, one revolver",.30-caliber Universal M1 carbine rifle; .38-caliber revolver,black,Male,30.3321838,-81.655651,Mass,1990
Standard Gravure shooting,"Louisville, Kentucky",14-09-1989,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",9,12,21,Workplace,47,Yes,"Prior to the shooting, he had voluntarily checked into hospitals for mental problems at least twice and attempted suicide three times. ",Yes,"AK-47 purchased from Tilford's Gun Sales in Louisville, Ky. ","Three semiautomatic handguns (two assault), one rifle (assault), one revolver","Two Intratec MAC-11, 9mm SIG Sauer semiautomatic handguns; AK-47 Chinese variant semiautomatic rifle; .38-caliber revolver",white,Male,38.2542376,-85.759407,Mass,1989
Stockton schoolyard shooting,"Stockton, California",17-01-1989,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,26,Yes,"He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ",Yes,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)",9mm Taurus semiautomatic handgun; AK-47 Chinese variant semiautomatic rifle,white,Male,37.9577016,-121.2907796,Mass,1989
ESL shooting,"Sunnyvale, California",16-02-1988,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin.",7,4,11,Workplace,39,Yes,"He stalked and harassed his colleague Laura Black for four years until she was granted a temporary restraining order aginst him. Before he was fired for his bizarre behavior, he was ordered to undergo psychological counseling. ",Yes,Various sporting goods and gun stores in Northern California,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",".380 ACP Browning, 9mm Smith & Wesson semiautomatic handguns; Ruger M-77 .22-250 bolt-action rifle with scope; Mossberg 12-gauge pump-action, 12-gauge Benelli semiautomatic shotguns; .357 Magnum Smith & Wesson, .22 Sentinel WMR revolvers",white,Male,37.3688301,-122.0363496,Mass,1988
Shopping centers spree killings,"Palm Bay, Florida",23-04-1987,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009.",6,14,20,Other,59,Yes,"He suffered from paranoid delusions. A judge found that he suffered from ""extreme mental illness.""",Yes,"Gun store in Norwood, Ohio; The Oaks Trading Post in Melbourne, Fla.","One rifle, one revolver, one shotgun","Sturm, Ruger Mini-14 semiautomatic rifle; 20-gauge Winchester pump-action shotgun; .357 Ruger Blackhawk revolver",white,Male,28.0331886,-80.6429695,Spree,1987
United States Postal Service shooting,"Edmond, Oklahoma",20-08-1986,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.",15,6,21,Workplace,44,Unclear ,He was worried he had inherited mental problems and rebuffed a pastor's suggestion he seek psychiatric counseling. His family members denied he had a history of mental illness.,Yes,"Issued by Oklahoma National Guard, where Sherrill served, for target competition  ",Three semiautomatic handguns,".22-caliber, two .45-caliber Colt Model 1911-A1 semiautomatic handguns",white,Male,35.6672015,-97.42937037,Mass,1986
San Ysidro McDonald's massacre,"San Ysidro, California",18-07-1984,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.",22,19,41,Other,41,Yes,"The day before the shooting, he tried to make an appointment at a mental health clinic. ",Yes,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",9mm Browning P35 Hi-Power semiautomatic handgun; 9mm Israeli Military Industries Uzi Model A carbine semiautomatic rifle; 12-gauge Winchester 1200 pump-action shotgun,white,Male,32.5520013,-117.0430813,Mass,1984
Dallas nightclub shooting,"Dallas, Texas",29-06-1984,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested.",6,1,7,Other,39,Yes,"During his last meal with his wife, he confessed he was depressed and had visited psychiatric hospitals in Belgium.",No,"Hines Boulevard Pawn Shop in Dallas, Texas",One semiautomatic handgun,9mm Smith & Wesson 459 semiautomatic handgun,white,Male,32.925166,-96.838676,Mass,1984
Welding shop shooting,"Miami, Florida",20-08-1982,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene.",8,3,11,Other,51,Yes,"His second wife left him because he refused to seek psychological help. He had become increasingly isolated. One former student said he was ""off his rocker.""",Yes,"Garcia Gun Center in Hialeah, Fla.",One shotgun,Mossberg 500 Persuader pump-action shotgun with pistol grip,white,Male,25.796491,-80.226683,Mass,1982
